IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.16.254.46,4,4,0.00,71.57,90.74,HKG
104.18.40.38,4,4,0.00,73.94,90.19,HKG
104.16.147.65,4,4,0.00,73.67,89.61,HKG
104.17.27.145,4,4,0.00,73.96,88.81,HKG
104.17.210.220,4,4,0.00,72.33,87.41,HKG
104.18.39.8,4,4,0.00,71.95,85.36,HKG
104.16.159.124,4,4,0.00,71.91,85.29,HKG
172.64.155.116,4,4,0.00,72.72,84.56,HKG
104.18.83.0,4,4,0.00,74.00,83.47,HKG
104.18.44.58,4,4,0.00,72.19,83.34,HKG
104.17.16.163,4,4,0.00,71.94,81.95,HKG
104.18.46.202,4,4,0.00,73.04,81.51,HKG
104.18.94.151,4,4,0.00,73.46,81.49,HKG
104.18.87.181,4,4,0.00,72.09,81.02,HKG
104.17.24.223,4,4,0.00,69.58,79.26,HKG
104.18.80.47,4,4,0.00,73.46,74.64,HKG
172.64.229.213,4,4,0.00,73.48,72.29,HKG
104.17.59.38,4,4,0.00,73.84,71.73,HKG
198.41.208.175,4,4,0.00,73.04,67.00,HKG
104.25.241.252,4,4,0.00,72.88,66.62,HKG
